[Blitzen] Log Data
Compile Date:Oct 24 2022 Time:18:58:31

LineNo,Pattern,SPEED,ハンドル,左後モータ,右後モータ,左前モータ,右前モータ,psd,sensor,centor,距離,トータル距離
0220,052,01638,002,0050,0050,0050,0050,00128,00000,00001,05266,00000
0221,052,01638,003,0050,0050,0050,0050,00128,00000,00001,05284,00000
0222,052,01183,004,0050,0050,0050,0050,00062,00000,00001,05297,00000
0223,052,01456,004,0050,0050,0050,0050,00063,00000,00001,05313,00000
0224,052,01547,004,0050,0050,0050,0050,00062,00000,00001,05330,00000
0225,052,01638,005,0050,0050,0050,0050,00063,00000,00001,05348,00000
0226,052,01547,005,0050,0050,0050,0050,00091,00000,00001,05365,00000
0227,052,01183,005,0050,0050,0050,0050,00092,00000,00001,05378,00000
0228,052,02002,004,-100,-100,-100,-100,00092,00000,00001,05400,00000
0229,052,01729,004,-010,-010,-010,-010,00091,00000,00001,05419,00000
0230,052,01274,004,0050,0050,0050,0050,00087,00000,00001,05433,00000
0231,052,01456,003,0050,0050,0050,0050,00087,00000,00001,05449,00000
0232,052,01638,003,0050,0050,0050,0050,00087,00000,00001,05467,00000
0233,052,01638,003,0050,0050,0050,0050,00087,00000,00001,05485,00000
0234,052,01456,003,0050,0050,0050,0050,00101,00000,00001,05501,00000
0235,052,01274,004,0050,0050,0050,0050,00101,00000,00001,05515,00000
0236,052,01729,004,-010,-010,-010,-010,00095,00000,00001,05534,00000
0237,052,01729,005,-010,-010,-010,-010,00096,00000,00001,05553,00000
0238,052,01456,005,0050,0050,0050,0050,00087,00000,00001,05569,00000
0239,052,01183,004,0050,0050,0050,0050,00087,00000,00001,05582,00000
0240,052,01638,004,0050,0050,0050,0050,00086,00000,00001,05600,00000
0241,052,01638,004,0050,0050,0050,0050,00087,00000,00001,05618,00000
0242,052,01456,004,0050,0050,0050,0050,00087,00000,00001,05634,00000
0243,052,01183,004,0050,0050,0050,0050,00087,00000,00001,05647,00000
0244,052,01820,005,-040,-040,-040,-040,00087,00000,00001,05667,00000
0245,052,01729,005,-010,-010,-010,-010,00087,00000,00001,05686,00000
0246,052,01456,004,0050,0050,0050,0050,00107,00000,00001,05702,00000
0247,052,01092,004,0050,0050,0050,0050,00100,00000,00001,05714,00000
0248,052,01638,003,0050,0050,0050,0050,00100,00000,00001,05732,00000
0249,052,01547,003,0050,0050,0050,0050,00100,00000,00001,05749,00000
0250,052,01456,003,0050,0050,0050,0050,00072,00000,00001,05765,00000
0251,052,01183,005,0050,0050,0050,0050,00066,00000,00001,05778,00000
0252,052,01729,004,-010,-010,-010,-010,00066,00000,00001,05797,00000
0253,052,01729,004,-010,-010,-010,-010,00067,00000,00001,05816,00000
0254,053,01547,004,0050,0050,0050,0050,00112,00000,00000,05833,00000
0255,053,01092,000,0050,0050,0050,0050,00112,00000,00000,05845,00000
0256,053,01456,-09,0050,0050,0050,0050,00112,00000,00000,05861,00000
0257,053,01638,-20,0050,0050,0050,0050,00113,00000,00000,05879,00000
0258,053,01547,-32,0050,0050,0050,0050,00112,00000,00000,05896,00000
0259,053,01183,-42,0050,0050,0050,0050,00112,00000,00000,05909,00000
0260,053,01456,-51,0050,0050,0050,0050,00112,00000,00000,05925,00000
0261,053,01638,-58,0050,0050,0050,0050,00091,00000,00000,05943,00000
